,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.14322230000000008
1,500,BMH,0.03954219999999992
2,500,BMHS,0.0701149000000001
3,500,Shift-And Exato,0.24139239999999992
4,500,Shift-And Aproximado,1.1193312999999998
5,1000,Força Bruta,0.18888009999999994
6,1000,BMH,0.06191999999999991
7,1000,BMHS,0.09750059999999985
8,1000,Shift-And Exato,0.4720661999999997
9,1000,Shift-And Aproximado,2.4388875000000008
10,1500,Força Bruta,0.16447780000000004
11,1500,BMH,0.08840020000000008
12,1500,BMHS,0.12623789999999993
13,1500,Shift-And Exato,0.7090167
14,1500,Shift-And Aproximado,3.894241500000003
15,2000,Força Bruta,0.2200461
16,2000,BMH,0.11523310000000016
17,2000,BMHS,0.1596094
18,2000,Shift-And Exato,1.0131575000000008
19,2000,Shift-And Aproximado,4.915467500000002
20,5000,Força Bruta,0.5471993999999996
21,5000,BMH,0.2755305000000002
22,5000,BMHS,0.31644119999999964
23,5000,Shift-And Exato,3.336766500000002
24,5000,Shift-And Aproximado,13.545913100000009
