,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.10276290000000014
1,500,BMH,0.03944890000000004
2,500,BMHS,0.14243630000000002
3,500,Shift-And Exato,0.2361545
4,500,Shift-And Aproximado,1.1466808000000024
5,1000,Força Bruta,0.11553239999999984
6,1000,BMH,0.06470310000000003
7,1000,BMHS,0.10234199999999999
8,1000,Shift-And Exato,0.5093342999999999
9,1000,Shift-And Aproximado,2.3089893000000004
10,1500,Força Bruta,0.16513550000000018
11,1500,BMH,0.09498969999999998
12,1500,BMHS,0.24323380000000008
13,1500,Shift-And Exato,0.8702909000000004
14,1500,Shift-And Aproximado,3.1143130000000085
15,2000,Força Bruta,0.31497010000000036
16,2000,BMH,0.12031500000000002
17,2000,BMHS,0.25487289999999996
18,2000,Shift-And Exato,0.9383482999999995
19,2000,Shift-And Aproximado,5.556502600000001
20,5000,Força Bruta,0.5461704000000003
21,5000,BMH,0.41468359999999993
22,5000,BMHS,0.33191580000000004
23,5000,Shift-And Exato,2.6127083999999985
24,5000,Shift-And Aproximado,11.161754600000002
