,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,82844.59999999998
1,500,BMH,24764.600000000046
2,500,BMHS,73997.19999999991
3,500,Shift-And Exato,420969.39999999997
4,500,Shift-And Aproximado,1473247.2000000011
5,1000,Força Bruta,182106.19999999998
6,1000,BMH,44943.20000000001
7,1000,BMHS,83924.20000000014
8,1000,Shift-And Exato,846246.6000000001
9,1000,Shift-And Aproximado,2906651.400000002
10,1500,Força Bruta,296510.00000000006
11,1500,BMH,70329.00000000003
12,1500,BMHS,153134.60000000003
13,1500,Shift-And Exato,1119175.8000000005
14,1500,Shift-And Aproximado,4401840.799999996
15,2000,Força Bruta,303780.20000000007
16,2000,BMH,60914.80000000003
17,2000,BMHS,122921.00000000015
18,2000,Shift-And Exato,1530775.4000000001
19,2000,Shift-And Aproximado,5724049.999999998
20,5000,Força Bruta,805968.7999999984
21,5000,BMH,149087.7999999999
22,5000,BMHS,236898.99999999994
23,5000,Shift-And Exato,4400322.000000002
24,5000,Shift-And Aproximado,17313327.799999997
