,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.06121279999999995
1,500,BMH,0.02225819999999994
2,500,BMHS,0.06835570000000013
3,500,Shift-And Exato,0.34502339999999965
4,500,Shift-And Aproximado,1.1214152999999996
5,1000,Força Bruta,0.12685479999999996
6,1000,BMH,0.054380700000000004
7,1000,BMHS,0.08154220000000005
8,1000,Shift-And Exato,0.5328344999999998
9,1000,Shift-And Aproximado,2.7276616999999983
10,1500,Força Bruta,0.23914340000000023
11,1500,BMH,0.07683489999999989
12,1500,BMHS,0.10244559999999993
13,1500,Shift-And Exato,1.0052533000000001
14,1500,Shift-And Aproximado,3.879519500000001
15,2000,Força Bruta,0.24906859999999983
16,2000,BMH,0.13956630000000012
17,2000,BMHS,0.13488049999999993
18,2000,Shift-And Exato,1.2674050000000017
19,2000,Shift-And Aproximado,5.341445099999997
20,5000,Força Bruta,1.0020429000000006
21,5000,BMH,0.3621446000000001
22,5000,BMHS,0.3023785999999998
23,5000,Shift-And Exato,2.821861099999995
24,5000,Shift-And Aproximado,12.0667438
