,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.06477279999999981
1,500,BMH,0.022310399999999984
2,500,BMHS,0.06099039999999996
3,500,Shift-And Exato,0.2751366999999999
4,500,Shift-And Aproximado,1.117888700000001
5,1000,Força Bruta,0.1252047
6,1000,BMH,0.04058799999999989
7,1000,BMHS,0.08319879999999992
8,1000,Shift-And Exato,0.5314982000000006
9,1000,Shift-And Aproximado,2.3427701
10,1500,Força Bruta,0.2775278999999998
11,1500,BMH,0.05569189999999986
12,1500,BMHS,0.10038490000000007
13,1500,Shift-And Exato,1.0222218000000005
14,1500,Shift-And Aproximado,3.9981397999999966
15,2000,Força Bruta,0.2483891
16,2000,BMH,0.10325779999999998
17,2000,BMHS,0.15940590000000002
18,2000,Shift-And Exato,1.2541937000000016
19,2000,Shift-And Aproximado,5.019027599999995
20,5000,Força Bruta,0.7760837000000005
21,5000,BMH,0.24105899999999986
22,5000,BMHS,0.31284040000000035
23,5000,Shift-And Exato,3.0484226
24,5000,Shift-And Aproximado,11.970123399999975
