,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.05937530000000001
1,500,BMH,0.038882200000000006
2,500,BMHS,0.11018669999999993
3,500,Shift-And Exato,0.3339157000000002
4,500,Shift-And Aproximado,1.2179791000000029
5,1000,Força Bruta,0.11993080000000012
6,1000,BMH,0.07100069999999996
7,1000,BMHS,0.10219699999999991
8,1000,Shift-And Exato,0.5295005999999999
9,1000,Shift-And Aproximado,2.293262500000001
10,1500,Força Bruta,0.2272996000000001
11,1500,BMH,0.09124790000000015
12,1500,BMHS,0.13094690000000014
13,1500,Shift-And Exato,0.7032593999999994
14,1500,Shift-And Aproximado,3.189614900000003
15,2000,Força Bruta,0.2895331000000002
16,2000,BMH,0.17186329999999994
17,2000,BMHS,0.18899860000000007
18,2000,Shift-And Exato,1.158605400000001
19,2000,Shift-And Aproximado,4.240673499999998
20,5000,Força Bruta,0.5578851000000001
21,5000,BMH,0.44286990000000004
22,5000,BMHS,0.4429458000000008
23,5000,Shift-And Exato,2.480125300000003
24,5000,Shift-And Aproximado,11.557799700000013
