,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,109541.00000000012
1,500,BMH,39374.20000000003
2,500,BMHS,77402.2
3,500,Shift-And Exato,301826.19999999966
4,500,Shift-And Aproximado,1130933.3999999987
5,1000,Força Bruta,120971.8
6,1000,BMH,72587.79999999999
7,1000,BMHS,102393.00000000003
8,1000,Shift-And Exato,607939.2000000001
9,1000,Shift-And Aproximado,2318101.800000003
10,1500,Força Bruta,215731.20000000004
11,1500,BMH,108457.00000000007
12,1500,BMHS,167297.40000000005
13,1500,Shift-And Exato,903368.2000000002
14,1500,Shift-And Aproximado,3324228.5999999987
15,2000,Força Bruta,289754.6000000001
16,2000,BMH,141371.40000000002
17,2000,BMHS,167215.59999999986
18,2000,Shift-And Exato,1183605.3999999994
19,2000,Shift-And Aproximado,4761404.6
20,5000,Força Bruta,820004.9999999995
21,5000,BMH,689558.1999999998
22,5000,BMHS,648820.5999999999
23,5000,Shift-And Exato,3427813.5999999973
24,5000,Shift-And Aproximado,11243679.599999988
