,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.06061009999999991
1,500,BMH,0.02137909999999992
2,500,BMHS,0.0575101
3,500,Shift-And Exato,0.29181340000000006
4,500,Shift-And Aproximado,1.4424099000000006
5,1000,Força Bruta,0.11935709999999994
6,1000,BMH,0.026268599999999993
7,1000,BMHS,0.11951590000000004
8,1000,Shift-And Exato,0.6419165
9,1000,Shift-And Aproximado,2.966105900000005
10,1500,Força Bruta,0.16875839999999992
11,1500,BMH,0.03165039999999995
12,1500,BMHS,0.06860939999999989
13,1500,Shift-And Exato,1.0123365000000002
14,1500,Shift-And Aproximado,3.899645200000001
15,2000,Força Bruta,0.2800244
16,2000,BMH,0.05466139999999988
17,2000,BMHS,0.08216559999999994
18,2000,Shift-And Exato,1.1032722
19,2000,Shift-And Aproximado,4.635259399999997
20,5000,Força Bruta,0.6276614999999993
21,5000,BMH,0.09569150000000005
22,5000,BMHS,0.14045120000000016
23,5000,Shift-And Exato,2.7763054000000014
24,5000,Shift-And Aproximado,12.392094400000005
