,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.05242249999999998
1,500,BMH,0.01933979999999997
2,500,BMHS,0.05587490000000017
3,500,Shift-And Exato,0.2891546999999999
4,500,Shift-And Aproximado,1.1457691000000003
5,1000,Força Bruta,0.10653869999999993
6,1000,BMH,0.026106099999999986
7,1000,BMHS,0.06409460000000011
8,1000,Shift-And Exato,0.7329233999999999
9,1000,Shift-And Aproximado,3.4455201
10,1500,Força Bruta,0.16863820000000007
11,1500,BMH,0.03383470000000007
12,1500,BMHS,0.13691940000000002
13,1500,Shift-And Exato,0.8596607000000003
14,1500,Shift-And Aproximado,4.3884792
15,2000,Força Bruta,0.21619499999999975
16,2000,BMH,0.045129900000000306
17,2000,BMHS,0.08098940000000002
18,2000,Shift-And Exato,1.2742529000000014
19,2000,Shift-And Aproximado,5.083815700000004
20,5000,Força Bruta,0.5451946000000002
21,5000,BMH,0.08747399999999986
22,5000,BMHS,0.1330285
23,5000,Shift-And Exato,2.7212321
24,5000,Shift-And Aproximado,12.480597400000011
