,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.060354699999999886
1,500,BMH,0.023825600000000037
2,500,BMHS,0.0642920999999998
3,500,Shift-And Exato,0.2673630000000002
4,500,Shift-And Aproximado,1.3262293999999988
5,1000,Força Bruta,0.2556711999999999
6,1000,BMH,0.04285939999999993
7,1000,BMHS,0.11595110000000004
8,1000,Shift-And Exato,0.5713932000000004
9,1000,Shift-And Aproximado,2.655818200000003
10,1500,Força Bruta,0.2866544000000002
11,1500,BMH,0.0581210999999999
12,1500,BMHS,0.10243760000000007
13,1500,Shift-And Exato,1.0022325000000007
14,1500,Shift-And Aproximado,3.3446709999999995
15,2000,Força Bruta,0.3197090999999999
16,2000,BMH,0.15613889999999989
17,2000,BMHS,0.11914230000000003
18,2000,Shift-And Exato,1.050555299999999
19,2000,Shift-And Aproximado,5.082758200000003
20,5000,Força Bruta,0.607059099999999
21,5000,BMH,0.16909340000000014
22,5000,BMHS,0.22924740000000035
23,5000,Shift-And Exato,2.6322531000000002
24,5000,Shift-And Aproximado,11.900105799999992
