,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,76367.59999999998
1,500,BMH,30256.600000000057
2,500,BMHS,78944.60000000005
3,500,Shift-And Exato,379082.39999999997
4,500,Shift-And Aproximado,1333767.3999999997
5,1000,Força Bruta,149392.80000000002
6,1000,BMH,36634.20000000001
7,1000,BMHS,84167.59999999992
8,1000,Shift-And Exato,732886.5999999997
9,1000,Shift-And Aproximado,2629500.999999998
10,1500,Força Bruta,220268.8
11,1500,BMH,54343.40000000002
12,1500,BMHS,105090.99999999991
13,1500,Shift-And Exato,1092159.8
14,1500,Shift-And Aproximado,3878339.399999997
15,2000,Força Bruta,405652.8000000003
16,2000,BMH,70604.2
17,2000,BMHS,155013.5999999999
18,2000,Shift-And Exato,1873392.5999999992
19,2000,Shift-And Aproximado,6917076.200000003
20,5000,Força Bruta,993630.0000000006
21,5000,BMH,193475.80000000005
22,5000,BMHS,299139.20000000007
23,5000,Shift-And Exato,4692787.000000003
24,5000,Shift-And Aproximado,17478899.0
